"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Ensure that login fails with incorrect credentials and appropriate error message is displayed.","7096","Verify Invalid Login Shows Error Message","testCases","2026-02-18","passed","2026-02-18","","test_004_invalid_login","",""
"","6248","Login Test | User: Admin | Expected: Invalid","testCases","2026-02-18","passed","2026-02-18","","test_003_login_parameter","",""
"Ensure that a logged-in user can logout successfully and is redirected back to the login page.","15130","Verify user can successfully logout","testCases","2026-02-18","passed","2026-02-18","","test_005_logout","",""
"","10455","Verify Dashboard is displayed after successful login","testCases","2026-02-18","passed","2026-02-18","","test_007_login_page_title_verification","",""
"","9180","Verify required validation message on empty login","testCases","2026-02-18","passed","2026-02-18","","test_008_empty_credentials_validations","",""
"","5316","Verify dashboard loads after successful login","testCases","2026-02-18","passed","2026-02-18","","test_006_dashboard_visible_check","",""
"","9375","Verify user can create a new Buzz post","testCases","2026-02-18","passed","2026-02-18","","test_009_buzz_post_creation","",""
"","6614","Login Test | User: WrongUser | Expected: Invalid","testCases","2026-02-18","passed","2026-02-18","","test_003_login_parameter","",""
"","8026","Login Test | User: WrongUser | Expected: Invalid","testCases","2026-02-18","passed","2026-02-18","","test_003_login_parameter","",""
"","12068","Login Test | User: Admin | Expected: Valid","testCases","2026-02-18","passed","2026-02-18","","test_003_login_parameter","",""
"","17334","Login Test | User: Admin | Expected: Valid","testCases","2026-02-18","passed","2026-02-18","","test_002_login_ddt","",""
"","5836","Login Test | User: Admin | Expected: Invalid","testCases","2026-02-18","passed","2026-02-18","","test_002_login_ddt","",""
"This test verifies that a valid user can successfully login into OrangeHRM.","7171","Verify user can login with valid credentials","testCases","2026-02-18","passed","2026-02-18","TestLogin","test_001_login","",""
"","5411","Login Test | User: WrongUser | Expected: Invalid","testCases","2026-02-18","passed","2026-02-18","","test_002_login_ddt","",""
